user_id;total_sessions;total_none_trips;total_cancellations;real_trips;real_flights;real_hotels_booked;real_avg_flight_discount;real_avg_hotel_discount;avg_page_clicks;avg_session_duration;real_avg_nights;real_avg_rooms;real_bags_check_rate;has_children;married;age;gender;home_country;home_city;home_airport;month_by_us;real_international_rate;real_avg_money_spent_hotel;real_sum_km_flown;avg_days_after_booking
23557;8;6;0;2;0;2;0.0;12.5;9.0;1.1583333333333332;0.0;0.0;0.0;False;True;66;F;usa;new york;LGA;52;0.0;0.0;0.0;0.0
94883;8;6;0;2;4;2;0.0;0.0;5.0;0.625;0.0;0.0;0.0;False;True;53;F;usa;kansas city;MCI;45;0.0;0.0;2907.3322551145975;0.0
101486;8;6;0;2;2;2;0.0;0.0;19.5;2.4333333333333336;0.0;0.0;0.0;True;True;52;F;usa;tacoma;TCM;45;0.0;0.0;965.3405679141882;0.0
101961;8;3;0;5;10;5;0.0;0.0;18.0;2.216666666666667;2.0;1.0;0.0;False;True;45;F;usa;boston;BOS;45;0.0;304.5;6608.420913397806;3.75
118043;8;3;0;5;6;4;0.0;2.5;18.0;2.283333333333333;0.5;0.5;0.0;True;False;53;F;usa;los angeles;LAX;44;0.0;185.625;7365.0735266592455;1.0
120851;8;7;0;1;2;1;0.0;0.0;6.0;0.7416666666666667;0.0;0.0;0.0;True;True;53;F;usa;santa ana;SNA;44;0.0;0.0;2249.833872451225;0.0
125845;9;6;0;3;6;3;0.0;0.0;17.0;2.1333333333333333;0.0;0.0;0.0;False;True;42;F;usa;el paso;BIF;44;0.0;0.0;8102.344375414725;0.0
133058;8;7;0;1;2;0;0.0;0.0;6.0;0.75;0.0;0.0;0.0;False;False;20;F;usa;austin;AUS;44;0.0;0.0;2708.294381612006;0.0
149058;8;3;0;5;10;5;0.0;0.0;20.0;2.475;1.0;1.0;0.0;True;False;52;F;usa;birmingham;BHM;43;0.0;120.0;9523.778761552314;4.0
152583;8;7;0;1;2;1;0.0;0.0;18.0;2.25;0.0;0.0;0.0;False;False;39;F;usa;colorado springs;COS;43;0.0;0.0;2178.789038455096;0.0
153982;8;5;0;3;6;3;0.0;0.0;13.0;1.5916666666666666;0.0;0.0;0.0;True;False;47;F;canada;toronto;YKZ;43;0.0;0.0;3847.6265692367965;0.0
160754;8;7;0;1;2;1;0.0;0.0;6.5;0.8333333333333333;0.0;0.0;0.0;True;True;47;F;usa;new york;LGA;43;0.0;0.0;526.1200403921746;0.0
164522;8;7;0;1;2;1;5.0;0.0;10.5;1.3083333333333333;0.0;0.0;0.0;False;True;50;F;usa;kansas city;MCI;43;0.0;0.0;1786.0731620565493;0.0
174997;7;5;0;2;4;2;0.0;0.0;15.0;1.8666666666666667;0.0;0.0;0.0;False;False;34;F;usa;grand rapids;GRR;42;0.0;0.0;3230.1178456931275;0.0
175032;9;6;0;3;4;3;0.0;0.0;9.0;1.0833333333333333;0.0;0.0;0.0;False;False;31;F;usa;houston;IAH;42;0.0;0.0;2717.6352839779356;0.0
181157;8;5;0;3;6;3;0.0;0.0;17.5;2.1833333333333336;0.0;0.0;0.0;False;True;55;F;usa;houston;HOU;42;0.0;0.0;3582.677077173689;0.0
187212;8;5;0;3;6;3;0.0;0.0;19.0;2.35;0.0;0.0;0.0;True;True;56;F;usa;los angeles;LAX;42;0.0;0.0;7016.14652102324;0.0
189676;8;6;0;2;2;2;0.0;0.0;10.5;1.3083333333333333;0.0;0.0;0.0;True;False;37;F;usa;fort worth;FTW;42;0.0;0.0;2284.5483204879297;0.0
190866;9;4;0;5;10;5;0.0;0.0;23.0;2.85;0.0;1.0;0.0;False;False;39;F;usa;tallahassee;TLH;42;0.0;0.0;11347.708599748707;5.0
195192;8;7;0;1;2;1;0.0;0.0;16.5;2.0166666666666666;0.0;0.0;0.0;False;False;30;F;usa;chicago;MDW;42;0.0;0.0;1174.423089479478;0.0
204943;8;1;1;5;10;5;0.0;0.0;20.0;2.4833333333333334;2.0;1.0;0.0;False;False;42;M;canada;ottawa;YOW;41;100.0;168.0;7822.727647698024;7.0
204997;7;3;1;2;4;1;0.0;0.0;20.5;2.55;0.0;0.0;0.0;False;True;40;F;usa;kansas city;MCI;41;0.0;0.0;2544.4937674907437;0.0
